Behavior code,Behavior type,Description,Key,Behavioral category,Excluded behaviors
straight_high,Point event,,f,punches,
hook_high,Point event,,d,punches,
upper_high,Point event,,s,punches,
body_middle,Point event,,a,punches,
low_low,Point event,,v,kicks,
middle_middle,Point event,,c,kicks,
high_high,Point event,,x,kicks,
front_middle,Point event,,z,kicks,
knee_middle,Point event,,w,knees,
r1,Point event,r1,1,,
r2,Point event,r2,2,,
r3,Point event,r1,3,,
straight_middle,Point event,,g,punches,
front_high,Point event,,b,kicks,
knee_high,Point event,,q,knees,
